sock_reading_1,sock_reading_2,sock_reading_3,sock_reading_4,sock_reading_5,value1,value2,value3,value4,value5,value6,value7,timestamp_ms
-0.5507594672776959,-0.6391932211549994,-0.5313032862499147,-0.5471994753199212,-0.34388142813371714,-0.6575471757755837,1.8111980327758244,0.6902182890375417,-0.6556756231511749,0.28575014510832847,1.8183571168390156,0.18605417987920403,1744688275990
-0.5226901767992312,-0.6005232982585024,-0.5003966131334004,-0.5153932484309078,-0.3218895719515175,-0.4750429819120491,1.7203915837072263,0.9219420174307775,-0.6101397542662043,0.4990917332774676,1.9885106440070317,0.16988699097170043,1744688276010
-0.44807532068508654,-0.5024074627707393,-0.4093954217166984,-0.42999120648924777,-0.24813320641410755,-0.28040636011516784,1.6361797404489729,1.1815229814629629,-0.5289092527394802,0.7144152438429058,2.085073719003349,0.18200939096094407,1744688276030
-0.34565329061527006,-0.3650667839766353,-0.27800216799684885,-0.30539764413184334,-0.13579235847518104,-0.08408671132404255,1.5603777355873194,1.4520825193087454,-0.4096063565463582,0.9155922410370948,2.1003293278382946,0.23047275600162606,1744688276050
-0.2317369131476276,-0.20842065193208018,-0.12732161191176133,-0.15557097951548077,7.391027171997135e-05,0.11110413972252531,1.4821943770339323,1.7147884689767856,-0.2544073247662353,1.0908452463242042,2.032175402053938,0.31717324361939725,1744688276070
-0.11848248731239193,-0.048816571504285665,0.024485055906227474,0.007297147192187364,0.1450583520003328,0.3091585346013456,1.3824794721534954,1.9517737561539292,-0.06838862184599773,1.2350016036313296,1.8822380492373731,0.4398034580630094,1744688276090
-0.01393558185388872,0.10217519991648404,0.16477154661180035,0.17241322298247788,0.286665222653304,0.5169050248898346,1.2397555775536684,2.1473934531444567,0.14283119131241298,1.3492835411998807,1.6546115907034018,0.5943394377159197,1744688276110
0.07682861157596815,0.23719063260718215,0.2869574066316178,0.3293689590502161,0.41465241819204496,0.7388685091533285,1.0371200231488242,2.2885135292983945,0.374701793892047,1.4392639271805083,1.356687844735528,0.7768036098061161,1744688276130
0.15041604889592775,0.35162016190421297,0.3894552816754454,0.46779038829287656,0.521165686917828,0.9733487988881079,0.768684539617901,2.36474516205515,0.6236938490321691,1.5120425744790376,1.001915486520438,0.9836699938620703,1744688276150
0.20445894002360268,0.4423017377982126,0.47370086026343255,0.5783393602720628,0.6011196975675768,1.2113799610675988,0.44370658471458385,2.3690469727504686,0.8859011946032997,1.5735969006880475,0.6125628474716533,1.2112047744990642,1744688276170
0.2379251946808057,0.5070949623257398,0.5420886100406226,0.6546959869257891,0.652725147498623,1.4389337537426496,0.08653767784224023,2.298483148310611,1.1556721799194847,1.626950945346769,0.2198105557848211,1.4547401064358851,1744688276190
0.2521837651584599,0.5455318510417313,0.5965323143457822,0.6954528449050006,0.6777500443927259,1.6414779840590061,-0.2684931343177602,2.154613750482936,1.4257238198854567,1.671455067034152,-0.14056422225777268,1.7088570416866966,1744688276210
0.25215161321482094,0.5601150477528148,0.6381116825275405,0.7049370625872403,0.6812504712921044,1.8090788242602376,-0.5860845473103589,1.9431946011098722,1.6889508923004843,1.703106522447837,-0.43623447730100545,1.968475180399265,1744688276230
0.2465908209637811,0.5573339908890398,0.6677936775774664,0.6925284092591847,0.6708069659795793,1.9398471034879317,-0.8395289799092952,1.673425815500046,1.9403487753860698,1.715546970032485,-0.6468639946497079,2.229464077193967,1744688276250
0.24676436102434393,0.5473701567649437,0.6876279075307967,0.6705663493113121,0.6553931434371943,2.039981857775262,-1.0169247531677619,1.3573767731252884,2.1767041395055404,1.7012753370299354,-0.7691242764436071,2.4869134072987125,1744688276270
0.26332082767658704,0.5419285929167648,0.7014023158664718,0.651309744505283,0.6438871277029945,2.11996907553176,-1.1218274939753685,1.0099367196193052,2.3929560197204736,1.6527296914212244,-0.8159446466128477,2.7305129804728763,1744688276290
0.30225087822562297,0.5505074851527787,0.7138604602817208,0.643682947994221,0.643172695499691,2.188084892722961,-1.1689309708264597,0.6488922355428255,2.5766594066018977,1.5630992962331067,-0.810752129971453,2.9389553876855703,1744688276310
0.36149320410453584,0.5762976458497606,0.7283564722246901,0.6506393304940754,0.6559604095007964,2.2435403620579817,-1.1773391648194294,0.2943015832303525,2.7039703372302015,1.4269445486587349,-0.7795829284731696,3.0771505468959326,1744688276330
0.42980123160772127,0.6133890555907071,0.7439350490357136,0.6678441936812668,0.6788756129773517,2.272058955796104,-1.1642993874865744,-0.03331461672722632,2.7406680821303913,1.240929556356081,-0.7442102278629968,3.0999234070185064,1744688276350
0.4887761735195196,0.6467932309887775,0.7535828474645127,0.684149279807935,0.7017759774200644,2.246333001082643,-1.1413580665398588,-0.3156977361766405,2.6498625222902987,1.0050887275536406,-0.7182678974803773,2.963504643639418,1744688276370
0.5178338495621982,0.6559364350261045,0.745198697950673,0.6840936198491182,0.7092915012273001,2.1325805578094217,-1.1135832814903743,-0.5397408571126874,2.4050287068213385,0.7247532626725862,-0.7067500118089238,2.6423065684595106,1744688276390
0.5007287719748938,0.6210125534826725,0.70562683927451,0.6522940137040842,0.6849475021952661,1.9022899541086882,-1.081314773737987,-0.6997386514543997,2.0039460205593027,0.4124669125712692,-0.7080274258215974,2.1446680795823387,1744688276410
0.43152231569044736,0.5303732791001696,0.6264960028301373,0.5789334085686139,0.6170725414974344,1.5456085080345394,-1.0431356744725644,-0.7982994832410096,1.4772797262327662,0.0884465121969922,-0.716982856688989,1.5195329809934348,1744688276430
